Ticker,Name,Price,Expense Ratio,Category,Morning Star Rating,Net Assets,Holdings Turnover,Inception Date,Fund Family,Cash,Stocks,Bonds,Others,Preferred,Convertable,Basic Materials,Consumer Cyclical,Financial Services,Realestate,Consumer Defensive,Healthcare,Utilities,Communication Services,Energy,Industrials,Technology,Number Years Up,Number Years Down,YTD,1-Month,3-Month,1-Year,3-Year,5-Year,10-Year,Inception,Minimum Initial Investment,Minimum Subsequent Investment,Mutual Fund,ETF,Capture Date
QUASX,AB Small Cap Growth Portfolio Class A,71.81,1.17,Small Growth,5,3.43B,75.00,1969-02-11,AllianceBernstein,2.03,97.94,0.00,0.03,0.00,0.00,0.03,11.89,7.51,1.38,6.37,30.63,0.02,0.03,0.00,17.11,25.04,34,16,23.82,2.05,6.56,36.69,20.46,19.20,16.32,NULL,2500,50,True,False,2020-11-13
CHTRX,Invesco Charter Fund Class A,17.27,1.07,Large Blend,2,2.99B,82.00,1968-11-25,Invesco,0.56,99.44,0.00,0.00,0.00,0.00,0.59,12.98,15.12,2.79,8.75,16.60,1.22,8.78,2.33,9.01,21.82,38,13,0.38,-2.56,-0.12,6.71,6.41,7.27,8.53,NULL,1000,50,True,False,2020-11-13
OPPAX,Invesco Global Fund Class A,112.38,1.06,World Large Stock,4,10.73B,-1,1969-12-21,Invesco,0.70,99.29,0.00,0.00,0.01,0.00,1.20,15.55,11.58,1.48,0.51,10.75,0.00,17.09,0.00,12.83,29.02,36,14,6.16,-2.34,2.14,14.18,7.67,10.00,9.83,NULL,1000,50,True,False,2020-11-13
ACSTX,Invesco Comstock Fund Class A,22.11,0.83,Large Value,2,7.42B,30.00,1968-10-06,Invesco,6.81,93.19,0.00,0.00,0.00,0.00,3.83,6.23,23.78,0.76,6.68,16.77,3.07,3.61,8.94,13.87,12.46,35,16,-19.08,-0.25,-0.62,-12.88,-2.12,3.63,7.86,NULL,1000,50,True,False,2020-11-13
SPECX,Alger Spectra Fund Class A,30.20,1.31,Large Growth,4,7.15B,86.54,1969-07-27,Alger,0.06,99.81,0.00,0.00,0.14,0.00,1.88,20.74,9.64,1.91,0.34,12.18,0.00,13.53,0.00,4.51,35.27,37,13,25.89,-2.59,3.63,34.65,18.91,16.70,16.09,NULL,1000,50,True,False,2020-11-13
AMCPX,American Funds AMCAP Fund Class A,37.52,0.69,Large Growth,2,70.08B,27.00,1967-04-30,American Funds,6.42,93.58,0.00,0.00,0.00,0.00,0.80,10.83,8.45,1.88,5.05,23.92,0.74,16.34,2.89,9.43,19.68,41,11,5.64,-2.33,-0.80,14.52,10.52,11.42,12.79,NULL,250,50,True,False,2020-11-13
BRGIX,Bridges Investment Fund,86.49,0.80,Large Growth,2,211.15M,16.90,1963-06-30,Bridges,7.09,92.91,0.00,0.00,0.00,0.00,1.48,13.48,28.70,0.00,1.15,6.61,0.00,11.39,0.53,9.74,26.92,44,12,9.85,-3.64,0.79,18.03,13.33,11.96,12.35,NULL,1000,0,True,False,2020-11-13
BRUFX,Bruce Fund,629.10,0.67,Allocation--50% to 70% Equity,4,509.33M,15.00,1968-03-19,Bruce,6.10,75.47,13.12,0.00,0.52,4.79,3.64,0.00,6.61,0.00,0.00,30.84,32.21,1.86,1.52,12.52,10.80,36,15,-0.11,-0.92,0.09,2.42,5.90,6.03,8.92,NULL,1000,500,True,False,2020-11-13
ACRNX,Columbia Acorn Fund Institutional Class,16.48,0.86,Mid-Cap Growth,2,4.31B,101.00,1970-06-09,Columbia,1.70,98.30,0.00,0.00,0.00,0.00,1.63,11.13,3.28,1.62,5.02,33.40,0.00,3.75,0.00,17.16,23.01,39,10,11.01,0.45,4.01,19.13,11.10,12.53,11.59,NULL,2000,0,True,False,2020-11-13
NYVTX,Davis New York Venture Fund Class A,30.45,0.89,Large Blend,2,7.32B,11.00,1969-02-16,Davis Funds,0.92,95.75,0.00,3.33,0.00,0.00,0.51,12.76,37.89,0.00,5.52,2.30,0.00,18.28,0.00,9.76,12.99,39,11,-5.50,0.94,3.66,0.91,3.78,7.71,9.68,NULL,1000,25,True,False,2020-11-13
FIFIX,Delaware Fund for Income Class A,2.4600,1.15,High Yield Bond,3,416.49M,47.00,1970-11-30,Delaware Funds by Macquarie,2.45,0.00,94.79,0.48,0.00,2.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35,13,1.27,0.42,-0.04,3.36,3.53,4.75,5.03,NULL,1000,100,True,False,2020-11-13
KTRAX,DWS Global Income Builder Fund - Class A,9.73,0.92,World Allocation,4,682.15M,161.00,1964-03-01,DWS,2.16,52.95,36.49,0.03,5.22,3.15,3.61,9.68,12.13,2.66,6.36,12.35,6.87,10.86,2.11,8.35,25.04,41,14,-2.65,-1.38,-0.06,0.07,3.36,5.73,5.59,NULL,1000,50,True,False,2020-11-13
DODGX,Dodge & Cox Stock Fund,182.21,0.52,Large Value,4,58.97B,17.00,1965-01-03,Dodge & Cox,0.63,99.20,0.00,0.00,0.17,0.00,1.52,2.59,26.51,0.00,1.00,17.50,0.00,14.03,7.04,10.47,19.34,41,13,-13.04,-1.92,-0.26,-6.46,1.96,7.00,10.35,NULL,2500,100,True,False,2020-11-13
CAPEX,Eaton Vance Tax-Managed Growth 1.0 Fund,1564.30,0.47,Large Growth,2,1.03B,6.00,1966-03-28,Eaton Vance,0.36,99.64,0.00,0.00,0.00,0.00,1.26,14.29,13.87,0.11,8.34,13.81,0.29,12.02,1.26,9.00,25.76,44,9,5.49,-2.19,1.54,12.98,11.00,11.47,12.60,NULL,0,0,True,False,2020-11-13
EVSEX,Eaton Vance Special Equities Fund Class A,24.59,1.20,Mid-Cap Growth,2,43.14M,39.00,1968-04-21,Eaton Vance,0.51,99.49,0.00,0.00,0.00,0.00,1.87,14.92,11.64,10.09,4.46,17.44,4.66,0.00,3.23,14.92,16.74,37,14,-5.53,2.20,1.58,-1.34,6.03,8.02,8.72,NULL,1000,0,True,False,2020-11-13
FSTBX,Federated Hermes Global Allocation Fund Class A Shares,20.98,1.16,World Allocation,4,363.75M,85.00,1968-12-30,Federated,3.40,58.56,35.69,0.01,0.03,0.06,5.92,11.83,13.82,2.80,8.82,12.19,3.82,9.41,2.26,10.43,18.70,42,9,0.09,-1.88,-1.16,4.12,3.33,4.75,5.75,NULL,1500,100,True,False,2020-11-13
FUSGX,Federated Hermes Fund for U.S. Government Securities Class A shares,7.51,0.97,Intermediate Government,2,242.98M,82.00,1969-10-05,Federated,15.81,0.00,84.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46,4,3.44,-0.24,-0.16,3.69,3.08,2.36,2.22,NULL,1500,100,True,False,2020-11-13
FCNTX,Fidelity Contrafund Fund,17.20,0.85,Large Growth,3,124.79B,26.00,1967-05-16,Fidelity Investments,1.96,97.12,0.01,0.88,0.03,0.00,2.67,14.08,13.41,0.83,3.29,14.58,0.20,18.92,0.48,2.43,29.11,39,13,18.59,-3.18,1.00,27.25,15.41,15.40,14.68,NULL,0,0,True,False,2020-11-13
FDESX,Fidelity Advisor Diversified Stock Fund Class O,31.89,0.46,Large Growth,3,2.32B,95.00,1970-07-09,Fidelity Investments,0.34,99.03,0.00,0.63,0.00,0.00,4.82,16.01,9.37,1.54,5.32,14.81,1.32,10.02,1.24,7.47,28.09,40,9,12.44,-2.75,1.54,20.03,12.08,13.20,13.37,NULL,0,0,True,False,2020-11-13
FEQIX,Fidelity Equity-Income Fund,58.81,0.60,Large Value,4,5.7B,32.00,1966-05-15,Fidelity Investments,6.16,93.67,0.17,0.00,0.00,0.00,1.33,10.14,15.84,1.49,12.15,16.02,6.07,8.93,5.19,10.58,12.25,41,12,-9.68,-2.29,-1.32,-4.28,3.27,6.80,8.61,NULL,0,0,True,False,2020-11-13
FMAGX,Fidelity Magellan Fund,12.54,0.77,Large Growth,3,19.91B,106.00,1963-05-01,Fidelity Investments,1.49,98.18,0.00,0.33,0.00,0.00,3.26,9.11,11.25,5.85,6.79,13.51,2.18,11.30,0.00,5.94,30.82,44,12,14.90,-3.46,-0.09,21.79,13.72,13.52,13.12,NULL,0,0,True,False,2020-11-13
