Ticker,Name,Price,Expense Ratio,Category,Morning Star Rating,Net Assets,Holdings Turnover,Inception Date,Fund Family,Cash,Stocks,Bonds,Others,Preferred,Convertable,Basic Materials,Consumer Cyclical,Financial Services,Realestate,Consumer Defensive,Healthcare,Utilities,Communication Services,Energy,Industrials,Technology,Number Years Up,Number Years Down,YTD,1-Month,3-Month,1-Year,3-Year,5-Year,10-Year,Inception,Minimum Initial Investment,Minimum Subsequent Investment,Mutual Fund,ETF,Capture Date
OARDX,Invesco Rising Dividends Fund Class A,22.21,1.06,Large Blend,2,2.56B,29.00,1980-04-29,Invesco,0.75,99.25,0.00,0.00,0.00,0.00,1.50,7.61,15.43,4.78,8.99,15.58,2.85,6.29,1.89,10.66,24.43,31,8,-0.18,-3.89,0.13,6.05,7.53,7.93,9.75,NULL,1000,50,True,False,2020-11-13
ACCBX,Invesco Corporate Bond Fund Class A,7.99,0.80,Corporate Bond,4,2.39B,192.00,1971-09-22,Invesco,1.32,0.09,94.71,0.00,1.62,2.06,2.17,11.02,12.53,2.57,7.31,13.95,2.89,10.51,4.59,8.40,24.06,38,10,6.10,0.00,-1.12,6.84,5.72,6.06,5.35,NULL,1000,50,True,False,2020-11-13
AMHYX,Invesco High Yield Fund Class A,3.8700,1.02,High Yield Bond,2,894.85M,62.00,1978-07-10,Invesco,6.75,0.10,92.17,0.00,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,32,9,-2.81,0.01,0.26,-0.40,2.05,3.74,4.67,NULL,1000,50,True,False,2020-11-13
OPTAX,Invesco AMT-Free Municipal Fund Class A,7.70,0.86,High Yield Muni,5,2.45B,8.00,1976-10-26,Invesco,0.31,0.00,99.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33,10,3.85,-0.35,-0.78,4.95,7.79,6.57,6.88,NULL,1000,50,True,False,2020-11-13
DRMCX,AllianzGI Mid-Cap Fund Institutional Class,6.29,0.79,Mid-Cap Growth,4,376.48M,53.00,1979-11-05,Allianz Global Investors,0.32,99.68,0.00,0.00,0.00,0.00,2.76,11.52,3.98,0.00,4.74,18.76,0.00,4.64,0.00,17.99,35.62,33,7,28.70,0.00,6.19,40.09,18.68,16.93,14.01,NULL,1000000,0,True,False,2020-11-13
ABALX,American Funds American Balanced Fund Class A,29.82,0.59,Allocation--50% to 70% Equity,5,166.16B,104.00,1975-07-24,American Funds,13.12,54.94,31.08,0.00,0.11,0.58,5.45,6.49,11.51,5.12,11.26,15.61,2.65,10.28,2.50,8.60,20.55,40,4,1.13,-1.80,-1.09,5.38,6.45,7.86,9.31,NULL,250,50,True,False,2020-11-13
CPTNX,American Century Government Bond Fund Investor Class,11.63,0.47,Intermediate Government,3,1.02B,103.00,1980-05-15,American Century Investments,2.36,0.00,97.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35,4,6.18,-0.55,-1.06,5.65,4.30,3.04,2.56,NULL,2500,50,True,False,2020-11-13
TWCGX,American Century Growth Fund Investor Class,44.86,0.98,Large Growth,3,10.28B,30.00,1971-06-29,American Century Investments,1.03,98.97,0.00,0.00,0.00,0.00,0.00,16.89,10.55,1.62,3.91,13.50,0.00,11.13,0.00,4.87,37.53,35,13,17.83,-4.05,0.38,26.70,17.56,15.91,14.58,NULL,2500,50,True,False,2020-11-13
TWCIX,American Century Select Fund Investor Class,101.00,0.97,Large Growth,3,3.86B,17.00,1971-06-29,American Century Investments,0.43,98.87,0.00,0.00,0.00,0.70,0.66,15.86,14.16,2.79,2.98,12.17,0.00,14.51,0.00,5.53,31.35,36,12,17.12,-2.94,0.78,26.10,16.80,15.53,14.94,NULL,2500,50,True,False,2020-11-13
ANCFX,American Funds Fundamental Investors Class A,64.78,0.62,Large Blend,3,100.1B,40.00,1978-07-31,American Funds,4.32,95.45,0.00,0.00,0.24,0.00,5.33,7.98,11.49,1.61,10.30,13.84,2.98,12.84,1.45,8.79,23.39,34,7,-1.61,-2.44,-0.19,5.96,6.72,10.00,11.40,NULL,250,50,True,False,2020-11-13
